porg_plant_material_id,plant_id,plant_name,material_id,material_name,purchasing_org_id,user_id,supplier_id,supplier_name,supplier_plant,valid_from,valid_to,user_purchase_org_id,rejection_reason
467,7,Dahej,200432-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
468,7,Dahej,200449-000000,nan,1,nan,21957,TCPL PACKAGING LIMITED,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
469,7,Dahej,200451-000000,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
470,7,Dahej,200456-000000,nan,1,nan,10494,Novex Poly Films PVT Ltd,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
471,7,Dahej,200456-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
472,7,Dahej,200458-000000,nan,1,nan,21813,ELITE INDUSTRIES,BHOLAV,,,,Foreign key violation - referenced ID not found in master table
473,7,Dahej,200458-000000,nan,1,nan,27941,ARISTO FLEXI PACK,Daman-Diu-194Q,,,,Foreign key violation - referenced ID not found in master table
474,7,Dahej,200459-000000,nan,1,nan,20936,RUDRA PACKERS,DAHEJ,,,,Foreign key violation - referenced ID not found in master table
475,7,Dahej,200459-000000,nan,1,nan,22828,Mahadev packaging,Kutch-194Q,,,,Foreign key violation - referenced ID not found in master table
476,7,Dahej,201044-000000,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
477,7,Dahej,201062-000000,nan,1,nan,10717,Gujarat Containers Limited,VADODARA-194Q,,,,Foreign key violation - referenced ID not found in master table
478,7,Dahej,201062-000000,nan,1,nan,28513,MuellerUnifab Packaging LLP,Vadodara-194Q,,,,Foreign key violation - referenced ID not found in master table
479,7,Dahej,201069-000000,nan,1,nan,17376,TPL Plastech Ltd,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
480,7,Dahej,201076-000000,nan,1,nan,12831,Enopeck Seals Industries,VALSAD-194Q,,,,Foreign key violation - referenced ID not found in master table
481,7,Dahej,201144-000000,nan,1,nan,21813,ELITE INDUSTRIES,BHOLAV,,,,Foreign key violation - referenced ID not found in master table
482,7,Dahej,201323-000000,nan,1,nan,10464,SHANKAR PACKAGINGS LIMITED,VADODARA-194Q,,,,Foreign key violation - referenced ID not found in master table
864,5,DKBL OU,200306-000000,nan,1,nan,21338,SCHUTZ VASITEX IND DE EMB LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
865,5,DKBL OU,200306-000000,nan,1,nan,29883,TECNOTAM EMBALAGENS INDUSTRIAIS LTDA,BALSA NOVA,,,,Foreign key violation - referenced ID not found in master table
866,5,DKBL OU,200307-000000,nan,1,nan,23050,MED AMBIENTAL ARMAZEM GERAL EIRELI,DUQUE DE CAXIAS,,,,Foreign key violation - referenced ID not found in master table
867,5,DKBL OU,200308-000000,nan,1,nan,15198,NEW SERVICE SUL PACKAGING EIRELI EPP,IVOTI,,,,Foreign key violation - referenced ID not found in master table
868,5,DKBL OU,200309-000000,nan,1,nan,15198,NEW SERVICE SUL PACKAGING EIRELI EPP,IVOTI,,,,Foreign key violation - referenced ID not found in master table
869,5,DKBL OU,200309-000000,nan,1,nan,16802,BRESSAN IND E COM DE EMBALAGENS LTDA,CANOAS,,,,Foreign key violation - referenced ID not found in master table
870,5,DKBL OU,200310-000000,nan,1,nan,15134,GREIF EMB IND DO BRASIL LTDA,ESTEIO,,,,Foreign key violation - referenced ID not found in master table
871,5,DKBL OU,200314-000000,nan,1,nan,15198,NEW SERVICE SUL PACKAGING EIRELI EPP,IVOTI,,,,Foreign key violation - referenced ID not found in master table
872,5,DKBL OU,200314-000000,nan,1,nan,15246,NEWSUL SA EMBALAGENS E COMPONENTES,BENTO G 000355,,,,Foreign key violation - referenced ID not found in master table
873,5,DKBL OU,200314-000000,nan,1,nan,21338,SCHUTZ VASITEX IND DE EMB LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
874,5,DKBL OU,200318-000000,nan,1,nan,15185,RAFT EMBALAGENS LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
875,5,DKBL OU,200318-000000,nan,1,nan,15198,NEW SERVICE SUL PACKAGING EIRELI EPP,IVOTI,,,,Foreign key violation - referenced ID not found in master table
876,5,DKBL OU,200318-000000,nan,1,nan,15246,NEWSUL SA EMBALAGENS E COMPONENTES,BENTO G 000355,,,,Foreign key violation - referenced ID not found in master table
877,5,DKBL OU,200318-000000,nan,1,nan,21338,SCHUTZ VASITEX IND DE EMB LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
878,5,DKBL OU,200327-000000,nan,1,nan,17355,BRUNO BATISTA DE ABREU GOMES,NOVA SANTA RITA,,,,Foreign key violation - referenced ID not found in master table
879,5,DKBL OU,200329-000000,nan,1,nan,15185,RAFT EMBALAGENS LTDA,GUARULHOS,,,,Foreign key violation - referenced ID not found in master table
